ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-2027605,Source2,3,2019-08-16T07:34:49Z,2019-08-16T08:19:36Z,42.89925,-87.936798,,,2.21000003814697,Entry ramp to I-94 Southbound from W Drexel Ave Eastbound closed.,I-41 S,Oak Creek,Milwaukee,WI,53154,US,US/Central,KMKE,2019-08-16T07:52:00Z,68,68,78,29.19,10,S,6,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3344552,Source2,2,2017-07-27T07:47:42Z,2017-07-27T08:17:29Z,39.648319,-85.975235,,,0,Accident on Inspiration Dr at Crackling Ln.,Crackling Ln,Indianapolis,Marion,IN,46259-7754,US,US/Eastern,KGEZ,2017-07-27T07:53:00Z,75,,87,29.94,5,SW,4.6,0.01,Light Rain,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4361091,Source1,2,2023-01-21T20:50:13Z,2023-01-22T06:50:51Z,30.487944,-84.316724,30.487495,-84.317224,0.043,Accident,N Monroe St,Tallahassee,Leon,FL,32303-2821,US,US/Eastern,KTLH,2023-01-21T20:53:00Z,51,51,86,29.97,10,E,9,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3279631,Source2,2,2017-09-01T12:28:54Z,2017-09-01T12:58:31Z,43.088627,-83.716202,,,0,Accident on Daron Pl at Bermuda Ln.,Bermuda Ln,Flint,Genesee,MI,48505-1074,US,US/Eastern,KFNT,2017-09-01T12:53:00Z,62.1,,53,30.25,10,ENE,11.5,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2792313,Source2,2,2018-04-30T12:56:32Z,2018-04-30T13:24:59Z,35.21257,-80.85881,,,0,Accident on West Blvd at Camden Rd.,Camden Rd,Charlotte,Mecklenburg,NC,28203-4757,US,US/Eastern,KCLT,2018-04-30T12:52:00Z,66,,30,30.31,10,SW,4.6,,Clear,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-7615717,Source1,2,2018-02-06T16:12:59Z,2018-02-06T22:12:59Z,27.82835,-82.70001,27.82835,-82.69985,0.01,At 49th St - Accident.,49th St N,Saint Petersburg,Pinellas,FL,33709-2116,US,US/Eastern,KPIE,2018-02-06T15:53:00Z,80.1,,50,30.21,10,NE,5.8,,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-7754608,Source1,2,2019-07-05T17:23:38Z,2019-07-05T17:52:26Z,41.020018,-74.293042,41.017758,-74.295958,0.218,At I-287 - Accident. Right lane blocked.,I-287 S,Haskell,Passaic,NJ,07420,US,US/Eastern,KCDW,2019-07-05T16:53:00Z,86,86,63,29.9,10,S,12,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5935692,Source1,2,2021-10-28T07:47:00Z,2021-10-29T09:04:17Z,29.674756,-90.814363,29.673193,-90.815226,0.12,Construction on LA-311 SB near LIVING WORD CT Road closed. Take alternate route.,Highway 311,Schriever,Terrebonne,LA,70395-3244,US,US/Central,KHUM,2021-10-28T07:47:00Z,64,64,68,29.68,7,W,12,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7583026,Source1,2,2018-05-15T15:07:42Z,2018-05-15T21:07:42Z,32.982971,-96.71247,32.982971,-96.71247,0,At Renner Rd - Accident. Left lane blocked.,US-75 N,Richardson,Dallas,TX,75080,US,US/Central,KADS,2018-05-15T14:47:00Z,84.2,,51,29.96,10,SSE,8.1,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3743232,Source1,2,2022-11-05T19:39:41Z,2022-11-05T20:54:43Z,40.960558,-111.891326,40.958519,-111.891254,0.141,Incident on I-15 SB near MP 322 Center lane blocked. Expect Delays.,US-89,Farmington,Davis,UT,84025,US,US/Mountain,KHIF,2022-11-05T19:39:00Z,37,31,100,25.05,10,N,8,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-6120852,Source1,2,2021-06-18T16:42:36Z,2021-06-18T16:55:36Z,25.8038914202413,-80.2058708663931,25.7931814202413,-80.2054508663931,0.74,Slow traffic on I-95 S from I-95 Exp (I-95) to I-395/FL-836/NE 3rd St/NE 2nd Ave/Exit 2D/Exit 3A (I-95) due to accident.,I-95,Miami,Miami-Dade,FL,33127,US,US/Eastern,KMIA,2021-06-18T16:53:00Z,86,86,70,30.02,8,ESE,12,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4727593,Source1,2,2022-06-15T11:32:00Z,2022-06-15T13:45:11Z,43.493276,-88.366711,43.527934,-88.391801,2.705,Stationary traffic on I-41 N - US-41 N from CR-D (US-41) to WI-28 (US-41) due to accident.,I-41 N,Allenton,Washington,WI,53002,US,US/Central,KETB,2022-06-15T11:35:00Z,84,84,58,28.9,10,S,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-402870,Source2,2,2017-04-08T07:42:02Z,2017-04-08T08:10:29Z,34.039917,-118.064171,,,0.01,Accident on CA-60 Northbound at CA-19 Rosemead Blvd.,Rosemead Blvd,South El Monte,Los Angeles,CA,91733,US,US/Pacific,KEMT,2017-04-08T07:53:00Z,57.2,,88,30.05,10,Calm,,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-589009,Source2,3,2022-06-20T04:32:15Z,2022-06-20T05:02:00Z,41.946358,-87.718597,,,0,Lane blocked due to crash on I-90 Kennedy Expy Eastbound at Exit 45A Addison St.,Kennedy Expy E,Chicago,Cook,IL,60618,US,US/Central,KORD,2022-06-20T04:51:00Z,65,65,63,29.38,10,SSW,3,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-5467315,Source1,2,2021-09-07T16:05:06Z,2021-09-07T16:35:30Z,28.00103,-82.306652,28.001809,-82.302485,0.26,Stationary traffic on US-92 E - US-92 W from US-301 (E Hillsborough Ave/US-92) to CR-579/Mango Rd (US-92) due to accident.,E US Highway 92,Seffner,Hillsborough,FL,33584-3303,US,US/Eastern,KVDF,2021-09-07T15:55:00Z,91,91,59,29.94,10,SW,8,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5116071,Source1,2,2022-03-01T09:58:00Z,2022-03-01T10:28:30Z,25.761959,-80.332957,25.762123,-80.326376,0.41,Stationary traffic on US-41 S from FL-973/87th Ave/Galloway Rd (US-41) to FL-826/Palmetto Expy (US-41) due to accident.,SW 8th St,Miami,Miami-Dade,FL,33144-4153,US,US/Eastern,KMIA,2022-03-01T09:53:00Z,69,69,84,30.04,10,WNW,7,0,Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2776570,Source2,2,2018-06-22T06:15:21Z,2018-06-22T06:44:58Z,35.207024,-80.796341,,,0,Accident on US-74 Independence Blvd at Briar Creek Rd.,Briar Creek Rd,Charlotte,Mecklenburg,NC,28205,US,US/Eastern,KCLT,2018-06-22T05:52:00Z,73,,96,29.79,7,WSW,4.6,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7666723,Source1,2,2017-10-03T13:42:16Z,2017-10-03T19:42:16Z,25.97249,-80.24694,25.97232,-80.25247,0.344,At SR-817/27th Ave/Exit 47 - Accident. Right lane blocked.,S University Dr,Hollywood,Broward,FL,33025,US,US/Eastern,KHWO,2017-10-03T13:53:00Z,84.9,,77,30.02,10,ENE,19.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-954392,Source2,3,2021-07-29T09:33:41Z,2021-07-29T10:02:42Z,30.030113,-89.993515,,,0,Left lane blocked due to accident on I-10 Eastbound at Crowder Blvd.,I-10 W,New Orleans,Orleans,LA,70127,US,US/Central,KNEW,2021-07-29T09:42:00Z,89,89,72,30.06,10,NNW,8,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6954723,Source1,2,2020-10-01T00:39:00Z,2020-10-01T02:43:21Z,34.028981,-118.01313,34.029001,-118.01013,0.172,Incident on CA-60 EB near CROSSROADS PKY Drive with caution.,CA-60 E,La Puente,Los Angeles,CA,91746,US,US/Pacific,KEMT,2020-10-01T00:53:00Z,75,75,41,29.79,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-402325,Source2,3,2017-04-06T10:57:53Z,2017-04-06T11:27:53Z,33.802624,-118.08181,,,0.01,Accident on I-605 Northbound at Exits 1B 1D 2A Katella Ave.,San Gabriel River Fwy N,Los Alamitos,Orange,CA,90720,US,US/Pacific,KSLI,2017-04-06T10:58:00Z,67.6,,70,30.04,5,Calm,,,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2661850,Source2,2,2018-08-22T16:39:18Z,2018-08-22T17:08:45Z,33.481434,-80.836258,,,0,Accident on US-178 Joe S Jeffords Hwy near Pineland St.,Pineland St,Orangeburg,Orangeburg,SC,29115-7435,US,US/Eastern,KOGB,2018-08-22T16:53:00Z,89.1,,50,29.91,10,WSW,8.1,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1507849,Source2,3,2020-06-16T09:21:02Z,2020-06-16T10:20:46Z,33.205341,-86.792404,,,0,Lane blocked due to accident on I-65 Northbound after Exit 234 CR-87.,I-65 N,Alabaster,Shelby,AL,35007,US,US/Central,KEET,2020-06-16T08:53:00Z,69,69,68,29.57,10,VAR,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3924829,Source1,2,2023-01-19T06:38:00Z,2023-01-19T07:55:27Z,41.766518,-72.685546,41.76955,-72.67052,0.802,ConnDOT: Crash (2 Vehicle) on I-84 Eastbound between Exits 48 and 49. The right lane is closed. Reported Thursday January 19 at 6:38 am.,I-84 E,Hartford,Hartford,CT,06105,US,US/Eastern,KHFD,2023-01-19T06:53:00Z,34,34,85,30.02,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
